,车牌号,车牌颜色,车辆种类,是否为运政车辆,辖区省,辖区市,辖区县,辖区镇,业户代码,业户名称,运营商代码,运营商名称,设备编码,终端类型,首次上传时间,最近定位时间,最近经度,最近纬度,GPS安装情况,是否上传GPS数据,年审日期,状态
10,粤GU6399,黄色,客运班车,是,广东,湛江,廉江,,G3000007,廉江市安达运输有限公司,1443364877,广东北斗平台科技有限公司湛江分公司,10379,北斗,2012/9/24 0:00:00,2018-11-02 19:01:41,114.2815,22.728,已安装符合部标+北斗,是,2018-07-24,营运
11,粤G51042,黄色,旅游包车,是,广东,湛江,霞山,,G1000054,湛江市运通旅游汽车有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2013/1/31 0:00:00,2018-11-02 19:02:27,110.3676,21.3,已安装符合部标+北斗,是,2018-01-12,营运
12,粤G35802,黄色,重型货车,是,广东,湛江,遂溪,界炮,G6005682,麦涛,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2018/10/24 14:59:38,2018/10/31 10:12:49,110.2374,21.382,已安装符合部标+北斗,是,2018-10-29,营运
13,粤G35802,蓝色,普通货运,是,广东,湛江,开发区,,G1011072,湛江市民安农机管理站,,,,未知,,,0,0,未安装,否,2005-02-22,注销
14,粤G40399,黄色,客运班车,是,广东,湛江,霞山,,G1000040,广东省湛江市交通运输集团客运有限公司,1443364866,广东恒慧信息科技有限公司,10890,北斗,2008/7/28 0:00:00,2018-11-02 19:03:31,110.2941,21.3328,已安装符合部标+北斗,是,2018-09-14,营运
15,粤G35Z36,黄色,,否,广东,湛江,,,,,1443364873,湛江市普耐德电子科技有限公司,10005,JT808,2018/5/30 11:14:17,2018/10/25 11:04:10,110.2937,21.2731,已安装符合部标,是,,
16,粤G23801,黄色,重型货车,是,广东,湛江,开发区,东山,G1048560,吴志钟,1443364873,湛江市普耐德电子科技有限公司,10005,JT808,2017/9/14 12:22:13,2018/10/30 7:44:41,113.3602,22.1532,已安装符合部标,是,2018-01-23,营运
17,粤GU6383,黄色,客运班车,是,广东,湛江,廉江,,G3000007,廉江市安达运输有限公司,1443364877,广东北斗平台科技有限公司湛江分公司,10379,北斗,2012/9/24 0:00:00,2018-11-02 19:02:04,114.2202,22.6764,已安装符合部标+北斗,是,2018-08-06,营运
18,粤G87A26,蓝色,出租客运,是,广东,湛江,城区,,G1025971,湛江市鑫豪出租汽车有限公司,1443364869,湛江丽普盾高新科技有限公司,10150,JT808,2017/8/15 16:27:15,2018-11-02 19:03:30,110.3729,21.2402,已安装符合部标,是,2018-05-24,营运
19,粤GU6385,黄色,客运班车,是,广东,湛江,廉江,,G3000001,广东省湛江汽车运输集团有限公司五0七车队,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2012/9/27 0:00:00,2018-11-02 19:02:53,110.2814,21.5929,已安装符合部标+北斗,是,2018-08-22,营运
20,粤GU6387,黄色,客运班车,是,广东,湛江,廉江,,G3000007,廉江市安达运输有限公司,1443364877,广东北斗平台科技有限公司湛江分公司,10379,北斗,2012/9/24 0:00:00,2018-11-02 09:31:00,110.2853,21.6013,已安装符合部标+北斗,是,2018-09-03,营运
21,粤G23809,黄色,重型货车,是,广东,湛江,吴川,兰石,G4005887,李伟钊,1443364866,广东恒慧信息科技有限公司,10476,北斗,2017/7/27 0:00:00,2018-11-02 18:56:56,110.8113,21.4544,已安装符合部标+北斗,是,2018-08-06,营运
22,粤GM8881,黄色,客运班车,是,广东,湛江,雷州,,G2000004,雷州市第一运输公司,1443364870,湛江半岛北斗天云卫星定位系统有限公司,10877,北斗,2013/7/26 0:00:00,2018-11-02 19:03:22,110.0759,20.5604,已安装符合部标+北斗,是,2018-01-29,营运
23,粤GM8881,蓝色,普通货运,是,广东,湛江,吴川,黄坡,G4005708,覃土吴,,,,未知,,2012/10/25 9:00:31,0,0,其他,是,2018-01-10,营运
24,粤GM8886,黄色,客运班车,是,广东,湛江,雷州,,G2000004,雷州市第一运输公司,1443364870,湛江半岛北斗天云卫星定位系统有限公司,10877,北斗,2013/7/26 0:00:00,2018-11-02 19:03:31,110.0766,20.5606,已安装符合部标+北斗,是,2018-05-23,营运
25,粤G39380,黄色,重型货车,是,广东,湛江,霞山,,G1000769,湛江市海宏物流有限公司,1443364872,湛江粤嘉电子科技有限公司,10765,北斗,2008/1/28 0:00:00,2018-11-01 17:51:26,110.3798,21.196,已安装符合部标+北斗,是,2018-10-25,营运
26,粤G23832,黄色,重型货车,是,广东,湛江,霞山,,G1045579,湛江开发区长运物流有限公司,1443364866,广东恒慧信息科技有限公司,10383,北斗,2017/7/27 0:00:00,2018-11-02 19:04:18,110.3757,21.2554,已安装符合部标+北斗,是,2018-02-13,营运
27,粤G23835,黄色,重型货车,是,广东,湛江,雷州,雷城,G2011008,谢海平,1443364875,广州航德信息科技有限公司,10476,北斗,2017/10/27 11:04:09,2018-11-02 19:04:01,110.0585,20.5994,已安装符合部标+北斗,是,2018-05-25,营运
28,粤G39382,黄色,重型货车,是,广东,湛江,麻章,,G1027372,湛江市麻章区大通汽车运输有限公司,1443364873,湛江市普耐德电子科技有限公司,10005,JT808,2008/2/1 0:00:00,2018-11-02 05:46:48,110.3689,21.1499,已安装符合部标,是,2018-02-08,营运
29,粤G39382,蓝色,,否,广东,湛江,,,,,1443233836,佛山市顺德区绿盾防盗器材设备有限公司,10006,JT808,2015/2/4 19:07:09,2015/3/27 10:18:14,110.2846,21.2445,已安装符合部标,是,,
30,粤G39383,黄色,重型货车,是,广东,湛江,麻章,,G1027372,湛江市麻章区大通汽车运输有限公司,1443364873,湛江市普耐德电子科技有限公司,10005,JT808,2008/2/1 0:00:00,2018-11-02 18:54:59,110.2098,21.398,已安装符合部标,是,2018-03-22,营运
31,粤G23839,黄色,重型货车,是,广东,湛江,麻章,太平,G1002390,陈秀梅,1443364866,广东恒慧信息科技有限公司,10476,北斗,2017/7/17 0:00:00,2018-11-02 19:03:30,110.4153,21.196,已安装符合部标+北斗,是,2018-09-05,营运
32,粤G51027,黄色,重型货车,是,广东,湛江,霞山,,G1040906,湛江锦程物流有限公司,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2013/2/20 0:00:00,2018-11-01 18:43:49,110.5138,21.0611,已安装符合部标+北斗,是,2018-08-15,营运
33,粤GM7583,黄色,重型货车,是,广东,湛江,雷州,南兴,G2011533,曹泽斌,1443364866,广东恒慧信息科技有限公司,,未知,2018/4/19 10:20:22,2018/10/5 1:40:28,111.1345,21.5205,其他,是,2016-09-19,注销
34,粤G38A75,黄色,,否,广东,湛江,,,,,1443364873,湛江市普耐德电子科技有限公司,10005,JT808,2017/3/22 10:11:39,2017/8/23 23:05:12,110.2944,21.2734,已安装符合部标,是,,
35,粤G38A75,蓝色,普通货运,是,广东,湛江,赤坎,,G1045123,湛江市德丰物流有限公司,1443364873,湛江市普耐德电子科技有限公司,10005,JT808,2017/8/23 23:06:20,2018-11-02 19:03:33,110.362,21.2533,已安装符合部标,是,2018-07-16,营运
36,粤G99A13,蓝色,出租客运,是,广东,湛江,城区,,G1045848,湛江市瑞腾出租车有限责任公司,1443364870,湛江半岛北斗天云卫星定位系统有限公司,10174,JT808,2017/8/15 16:48:52,2018-11-02 19:04:43,110.3376,21.2386,已安装符合部标,是,2018-03-15,营运
37,粤GWE345,蓝色,,否,广东,湛江,,,,,1443364874,湛江市东海恒诚交通科技有限公司,10005,JT808,2018/3/5 12:54:49,2018-11-02 19:05:07,110.2634,21.385,已安装符合部标,是,,
38,粤G23823,黄色,重型货车,是,广东,湛江,霞山,,G1028152,湛江市祥隆运输有限公司,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2017/7/14 0:00:00,2018-11-02 19:05:13,110.3793,21.1978,已安装符合部标+北斗,是,2018-02-06,营运
39,粤G23828,黄色,重型货车,是,广东,湛江,麻章,麻章,G1048120,湛江众禾物流有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2017/7/28 0:00:00,2018-11-02 19:04:12,112.6889,22.4609,已安装符合部标+北斗,是,2018-07-09,营运
40,粤G23826,黄色,重型货车,是,广东,湛江,赤坎,,G1048460,钟亚英,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2017/8/10 14:19:48,2018-11-02 19:03:55,110.2669,21.3721,已安装符合部标+北斗,是,2018-07-04,营运
41,粤G23826,蓝色,普通货运,是,广东,湛江,霞山,,G1005954,梁少珍,,,,未知,,2011/5/5 16:00:38,0,0,其他,是,2013-07-26,注销
42,粤G23827,黄色,公交客运,是,广东,湛江,廉江,,G3349762,廉江市宏大公交有限公司,1443364877,广东北斗平台科技有限公司湛江分公司,10379,北斗,2018/1/24 9:55:31,2018-11-02 18:50:13,110.2583,21.616,已安装符合部标+北斗,是,2018-08-17,营运
43,粤GU5077,黄色,客运班车,是,广东,湛江,廉江,,G3000007,廉江市安达运输有限公司,1443364877,广东北斗平台科技有限公司湛江分公司,10379,北斗,2010/5/20 0:00:00,2018-11-02 19:04:09,110.0369,21.4636,已安装符合部标+北斗,是,2018-05-31,营运
44,粤G51037,黄色,旅游包车,是,广东,湛江,霞山,,G1000054,湛江市运通旅游汽车有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2013/1/31 0:00:00,2018-11-02 19:04:35,110.3984,21.1877,已安装符合部标+北斗,是,2018-07-12,营运
45,粤GM7572,黄色,重型货车,是,广东,湛江,雷州,,G2011575,吴理生,1443364875,广州航德信息科技有限公司,10476,北斗,2012/4/17 0:00:00,2018-11-02 19:05:03,113.2141,23.1918,已安装符合部标+北斗,是,2018-03-05,营运
46,粤G40388,黄色,重型货车,是,广东,湛江,雷州,松竹,G2016110,何春悦,1443364866,广东恒慧信息科技有限公司,10476,北斗,2018/8/27 10:27:37,2018-11-02 19:04:47,110.0803,20.8283,已安装符合部标+北斗,是,2018-07-27,营运
47,粤G40388,黄色,客运班车,是,广东,湛江,霞山,,A1080776,湛江市京通运输有限公司,1443364866,广东恒慧信息科技有限公司,10476,北斗,2018/8/27 10:27:37,2018-11-02 19:04:47,110.0803,20.8283,已安装符合部标+北斗,是,2013-07-22,注销
48,粤G47820,黄色,旅游包车,是,广东,湛江,开发区,东山,G1046442,湛江安旭客运有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2016/5/23 16:04:38,2018-11-02 19:04:55,110.4158,21.2342,已安装符合部标+北斗,是,,待营运
49,粤G23852,黄色,重型货车,是,广东,湛江,霞山,,G1043762,湛江市中杰物流有限公司,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2017/12/18 18:09:00,2018-11-02 19:05:58,110.3726,21.1523,已安装符合部标+北斗,是,2018-03-15,营运
50,粤GU2827,黄色,重型货车,是,广东,湛江,廉江,,G3351244,陆培兴,1443364866,广东恒慧信息科技有限公司,10476,北斗,2016/11/9 0:00:00,2018-11-02 19:05:37,110.1377,20.3804,已安装符合部标+北斗,是,2018-07-31,营运
51,粤GU2827,蓝色,普通货运,是,广东,湛江,廉江,横山,G3003186,何贯,,,,未知,,2011/5/5 16:00:38,0,0,其他,是,2010-03-09,注销
52,粤G23857,黄色,重型货车,是,广东,湛江,坡头,龙头,G1033741,庞汉伟,1443364873,湛江市普耐德电子科技有限公司,10005,JT808,2015/10/8 0:00:00,2018-11-02 19:05:59,110.5663,21.3579,已安装符合部标,是,2018-08-15,营运
53,粤G23857,蓝色,普通货运,是,广东,湛江,麻章,麻章,G1002665,李宏山,,,,未知,,2011/5/5 16:00:38,0,0,其他,是,2012-09-13,注销
54,粤G46F08,蓝色,出租客运,是,广东,湛江,城区,,G1025971,湛江市鑫豪出租汽车有限公司,1443364869,湛江丽普盾高新科技有限公司,10872,北斗,2016/11/25 16:29:10,2018-11-02 19:05:45,110.4591,21.264,已安装符合部标+北斗,是,2018-07-15,营运
55,粤G47827,黄色,重型货车,是,广东,湛江,麻章,麻章,G1045944,王秋伟,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2011/8/30 0:00:00,2018-11-02 19:06:20,110.5971,21.3434,已安装符合部标+北斗,是,2018-08-08,营运
56,粤G47827,蓝色,其它车辆,是,广东,湛江,赤坎,,G1011606,湛江市长虹汽车出租有限公司,,,,未知,,2011/5/5 16:00:38,0,0,其他,是,2013-10-29,注销
57,粤G51087,黄色,旅游包车,是,广东,湛江,霞山,,G1000054,湛江市运通旅游汽车有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2013/1/31 0:00:00,2018-11-02 19:05:23,110.0959,21.201,已安装符合部标+北斗,是,2018-07-12,营运
58,粤G51086,黄色,旅游包车,是,广东,湛江,霞山,,G1000054,湛江市运通旅游汽车有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2013/1/31 0:00:00,2018-11-02 19:03:25,110.3735,21.2888,已安装符合部标+北斗,是,2018-06-14,营运
59,粤GM8851,黄色,客运班车,是,广东,湛江,雷州,,G2000002,雷州市粤通运输有限责任公司,1443364870,湛江半岛北斗天云卫星定位系统有限公司,10877,北斗,2013/7/19 0:00:00,2018-11-02 08:23:32,110.0583,20.9211,已安装符合部标+北斗,是,2018-01-25,营运
60,粤G51083,黄色,重型货车,是,广东,湛江,赤坎,,G1042563,王伟昌,1443364869,湛江丽普盾高新科技有限公司,10765,北斗,2013/1/30 0:00:00,2018-11-02 19:03:51,110.3166,21.2931,已安装符合部标+北斗,是,2018-06-01,营运
61,粤GM8857,黄色,客运班车,是,广东,湛江,雷州,,G2000002,雷州市粤通运输有限责任公司,1443364870,湛江半岛北斗天云卫星定位系统有限公司,10874,北斗,2013/7/19 0:00:00,2018-11-02 19:06:23,110.0487,20.9218,已安装符合部标+北斗,是,2018-07-23,营运
62,粤GM8859,黄色,客运班车,是,广东,湛江,雷州,,G1000041,雷州市第三客运公司,1443364870,湛江半岛北斗天云卫星定位系统有限公司,10877,北斗,2013/6/25 0:00:00,2018-11-02 19:04:54,110.2442,20.6828,已安装符合部标+北斗,是,2018-09-14,营运
63,粤GK4889,黄色,,否,广东,湛江,,,,,1443364867,湛江市盈仁电子科技有限公司,10730,北斗,2015/12/30 14:29:28,2015/12/30 15:46:16,110.1918,20.301,已安装符合部标+北斗,是,,
64,粤GK4889,蓝色,出租客运,是,广东,湛江,徐闻,徐城,G5002548,徐闻县金源出租车有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2017/8/15 16:05:37,2018-11-02 19:05:21,110.1772,20.3307,已安装符合部标+北斗,是,2018-09-06,营运
65,粤GK4889,其它,,否,广东,湛江,,,,,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,,,0,0,未安装,否,,
66,粤G23843,黄色,公交客运,是,广东,湛江,廉江,,G3349762,廉江市宏大公交有限公司,1443364877,广东北斗平台科技有限公司湛江分公司,10379,北斗,2018/1/24 9:55:15,2018-11-02 19:03:08,110.2585,21.6157,已安装符合部标+北斗,是,2018-03-27,营运
67,粤G23846,黄色,公交客运,是,广东,湛江,廉江,,G3349762,廉江市宏大公交有限公司,1443364877,广东北斗平台科技有限公司湛江分公司,10379,北斗,2018/2/3 7:58:23,2018-11-02 19:04:08,110.2586,21.6158,已安装符合部标+北斗,是,2018-05-31,营运
68,粤G23846,蓝色,普通货运,是,广东,湛江,开发区,东简,G1010394,余东记,,,,未知,,2011/5/5 16:00:38,0,0,其他,是,2012-06-27,注销
69,粤G51093,黄色,重型货车,是,广东,湛江,赤坎,,G1042563,王伟昌,1443364869,湛江丽普盾高新科技有限公司,10765,北斗,2017/3/9 12:07:13,2018-11-02 19:07:04,110.3927,21.3135,已安装符合部标+北斗,是,2018-06-01,营运
70,粤G51091,黄色,旅游包车,是,广东,湛江,霞山,,G1000054,湛江市运通旅游汽车有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2013/1/31 0:00:00,2018-11-02 19:01:33,110.3737,21.2889,已安装符合部标+北斗,是,2018-01-12,营运
71,粤GK4891,黄色,,否,广东,湛江,,,,,1443364867,湛江市盈仁电子科技有限公司,10730,北斗,2015/12/30 14:29:28,2015/12/30 15:46:28,110.1856,20.32,已安装符合部标+北斗,是,,
72,粤GK4891,蓝色,出租客运,是,广东,湛江,徐闻,徐城,G5002548,徐闻县金源出租车有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2017/8/15 16:05:37,2018-11-02 19:06:16,110.1856,20.32,已安装符合部标+北斗,是,2018-04-04,营运
73,粤GM8847,黄色,客运班车,是,广东,湛江,雷州,,G2000002,雷州市粤通运输有限责任公司,1443364870,湛江半岛北斗天云卫星定位系统有限公司,10877,北斗,2014/1/16 0:00:00,2018-11-02 19:04:57,110.0575,20.9211,已安装符合部标+北斗,是,2018-07-23,营运
74,粤G47803,黄色,重型货车,是,广东,湛江,开发区,东山,G1056783,陈国经,1443364874,湛江市东海恒诚交通科技有限公司,10476,北斗,2018/10/16 12:00:21,2018-11-02 19:06:22,110.3831,21.2894,已安装符合部标+北斗,是,2018-10-22,营运
75,粤G23877,黄色,重型货车,是,广东,湛江,徐闻,下桥,G5014044,林小妹,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2018/4/26 17:04:34,2018-11-02 19:06:02,109.9351,20.7604,已安装符合部标+北斗,是,2018-04-25,营运
76,粤G47805,黄色,危险货运,是,广东,湛江,霞山,,G1004682,湛江市恒远运输有限公司,1443364870,湛江半岛北斗天云卫星定位系统有限公司,10413,北斗,2011/7/22 0:00:00,2018-11-02 19:06:49,113.1908,22.0077,已安装符合部标+北斗,是,2018-04-18,营运
77,粤G51068,黄色,重型货车,是,广东,湛江,麻章,湖光,G1060070,王志洪,1443364873,湛江市普耐德电子科技有限公司,10005,JT808,2018/8/17 10:41:04,2018-11-02 19:07:30,110.2778,21.5807,已安装符合部标,是,2018-08-29,营运
78,,,,否,,,,,,,,,,未知,,,0,0,,否,,
79,粤G51062,黄色,旅游包车,是,广东,湛江,霞山,,G1000054,湛江市运通旅游汽车有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2013/1/31 0:00:00,2018-11-02 19:03:54,110.3985,21.1877,已安装符合部标+北斗,是,2018-01-15,营运
80,粤G23872,黄色,公交客运,是,广东,湛江,廉江,,G3349762,廉江市宏大公交有限公司,1443364877,广东北斗平台科技有限公司湛江分公司,10379,北斗,2018/1/24 9:55:17,2018-11-02 17:57:24,110.2585,21.6159,已安装符合部标+北斗,是,2018-02-01,营运
81,粤G23865,黄色,重型货车,是,广东,湛江,霞山,,G1044502,湛江迅捷物流有限公司,1443364880,湛江博佳电子科技有限公司,10765,北斗,2017/12/25 9:46:30,2018-11-02 19:07:53,110.3768,21.1473,已安装符合部标+北斗,是,2018-08-01,营运
82,粤G23865,黄色,重型货车,是,广东,湛江,霞山,,G1044502,湛江迅捷物流有限公司,1443364880,湛江博佳电子科技有限公司,10765,北斗,2017/12/25 9:46:30,2018-11-02 19:07:53,110.3768,21.1473,已安装符合部标+北斗,是,2018-08-01,营运
83,粤G51077,黄色,危险货运,是,广东,湛江,霞山,,G1038962,广东利明达能源有限公司,1443364880,湛江博佳电子科技有限公司,10765,北斗,2018/10/22 20:52:10,2018-11-02 19:07:31,110.4619,21.2635,已安装符合部标+北斗,是,2018-11-01,营运
84,粤GL4227,黄色,,否,广东,湛江,,,,,1443364867,湛江市盈仁电子科技有限公司,10730,北斗,2015/4/1 13:12:55,2015/12/29 8:39:57,110.2158,20.2728,已安装符合部标+北斗,是,,
85,粤GL4227,蓝色,出租客运,是,广东,湛江,徐闻,徐城,G5002548,徐闻县金源出租车有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2017/8/15 11:58:06,2018-11-02 19:06:49,110.1906,20.3058,已安装符合部标+北斗,是,2018-08-17,营运
86,粤GM8862,黄色,客运班车,是,广东,湛江,雷州,,G1000041,雷州市第三客运公司,1443364870,湛江半岛北斗天云卫星定位系统有限公司,10877,北斗,2013/7/11 0:00:00,2018-11-02 19:07:55,110.3192,20.714,已安装符合部标+北斗,是,2018-03-15,营运
87,粤G23860,黄色,重型货车,是,广东,湛江,遂溪,遂城,G6008793,陈而,1443364875,广州航德信息科技有限公司,10476,北斗,2017/9/13 11:41:59,2018-11-02 19:07:42,110.1116,20.4492,已安装符合部标+北斗,是,2018-11-02,营运
88,粤GM8817,黄色,客运班车,是,广东,湛江,雷州,,G2000002,雷州市粤通运输有限责任公司,1443364870,湛江半岛北斗天云卫星定位系统有限公司,10877,北斗,2013/7/11 0:00:00,2018-11-02 17:47:13,113.5627,22.282,已安装符合部标+北斗,是,2018-07-24,营运
89,粤GWL828,蓝色,普通货运,是,广东,湛江,吴川,大山江,G4001872,广东威立电力器材有限公司,1443364873,湛江市普耐德电子科技有限公司,10005,JT808,2017/8/15 16:48:52,2018-11-02 01:22:06,110.8214,21.4341,已安装符合部标,是,2018-08-08,营运
90,粤G46532,黄色,旅游包车,是,广东,湛江,开发区,东山,G1046442,湛江安旭客运有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2015/7/21 0:00:00,2018-11-02 19:07:03,110.4153,21.2225,已安装符合部标+北斗,是,2018-01-05,待营运
91,粤G46532,黄色,其它车辆,是,广东,湛江,开发区,,G1033307,湛江市东旭汽车租赁有限公司,1443364879,湛江市瑞德电子科技有限公司,10730,北斗,2015/7/21 0:00:00,2018-11-02 19:07:33,110.4153,21.2225,已安装符合部标+北斗,是,2014-02-27,注销
92,粤GJ2860,黄色,客运班车,是,广东,湛江,徐闻,徐城,G5000001,广东省湛江汽车运输集团有限公司五0四车队,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2010/12/31 0:00:00,2018-11-02 19:06:30,113.2272,23.166,已安装符合部标+北斗,是,2018-10-18,营运
93,粤G23899,黄色,危险货运,是,广东,湛江,坡头,,G1004693,中信海洋直升机股份有限公司湛江分公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2017/7/3 14:02:27,2018-11-02 13:25:35,110.4703,21.2398,已安装符合部标+北斗,是,2018-09-29,营运
94,粤G58516,黄色,重型货车,是,广东,湛江,坡头,龙头,G1048015,陆康朝,1443364866,广东恒慧信息科技有限公司,10383,北斗,2017/2/21 17:22:23,2018-11-02 19:08:27,110.0335,20.6952,已安装符合部标+北斗,是,2018-07-04,过户
95,粤GJ2869,黄色,客运班车,是,广东,湛江,徐闻,徐城,G5000001,广东省湛江汽车运输集团有限公司五0四车队,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2010/12/21 0:00:00,2018-11-02 19:02:52,110.2019,20.2778,已安装符合部标+北斗,是,2018-09-30,营运
96,粤GE1267,黄色,重型货车,是,广东,湛江,雷州,南兴,G2008211,吴培兴,1443364875,广州航德信息科技有限公司,10476,北斗,2016/10/13 0:00:00,2018-11-02 19:08:37,110.068,21.1504,已安装符合部标+北斗,是,2018-07-09,营运
97,粤G46539,黄色,旅游包车,是,广东,湛江,开发区,东山,G1046442,湛江安旭客运有限公司,1443364879,湛江市瑞德电子科技有限公司,10874,北斗,2015/7/21 0:00:00,2018-11-02 18:57:06,110.4153,21.2224,已安装符合部标+北斗,是,2018-09-03,待营运
98,粤G46539,黄色,其它车辆,是,广东,湛江,开发区,,G1033307,湛江市东旭汽车租赁有限公司,1443364879,湛江市瑞德电子科技有限公司,10730,北斗,2015/7/21 0:00:00,2018-11-02 18:57:06,110.4153,21.2224,已安装符合部标+北斗,是,2013-08-19,注销
99,粤G46539,蓝色,普通货运,是,广东,湛江,霞山,,G1000308,肖利兴,,,,未知,,2011/5/5 16:00:38,0,0,其他,是,2016-09-08,注销
100,粤G45208,黄色,重型货车,是,广东,湛江,遂溪,黄略,G6023424,许双,1443364873,湛江市普耐德电子科技有限公司,10005,JT808,2018/3/22 17:40:18,2018-11-02 19:08:19,110.376,21.322,已安装符合部标,是,2018-04-04,营运
101,粤G45208,黄色,重型货车,是,广东,湛江,开发区,东山,G1035871,湛江市东海裕达建材有限公司,,,,未知,2011/5/5 16:00:38,2018-11-02 19:08:19,110.376,21.322,其他,是,2013-08-30,注销
102,粤G23890,黄色,重型货车,是,广东,湛江,廉江,,G3352973,吴玉辉,1443364866,广东恒慧信息科技有限公司,10476,北斗,2017/8/29 0:46:08,2018-11-02 19:08:36,108.7217,21.9864,已安装符合部标+北斗,是,2018-10-18,营运
103,粤GE1269,黄色,重型货车,是,广东,湛江,雷州,白沙,G2016879,王超强,1443364875,广州航德信息科技有限公司,10476,北斗,2016/10/12 0:00:00,2018-11-02 19:08:52,110.0011,21.0727,已安装符合部标+北斗,是,2018-09-10,营运
104,粤GE1263,黄色,重型货车,是,广东,湛江,雷州,附城,G2016250,林之盛,1443364875,广州航德信息科技有限公司,10476,北斗,2016/10/13 0:00:00,2018-11-02 19:08:41,110.068,21.1506,已安装符合部标+北斗,是,2018-03-14,营运
